,training_data_thu.csv_diff,count1,training_data_ICTCLAS.csv_diff,count2,training_data_thu.csv_SegmentedInput,training_data_ICTCLAS.csv_SegmentedInput
216,! 撕烂,1,! 撕 ! 烂,2,纸币 被 撕烂 了 ， 怎么 办,纸币 被 撕 烂 了 ， 怎么 办
217,,0,,0,纸币 被 洗 了 ， 怎么 办,纸币 被 洗 了 ， 怎么 办
218,,0,,0,纸币 染色 了 ， 怎么 办,纸币 染色 了 ， 怎么 办
219,,0,,0,家里 小孩 不 小心 把 钱 撕 了 ， 能 换 吗,家里 小孩 不 小心 把 钱 撕 了 ， 能 换 吗
220,,0,,0,为什么 刚才 我 到 那个 网点 换钱 非 要 我 提供 身份证,为什么 刚才 我 到 那个 网点 换钱 非 要 我 提供 身份证
221,! 残币,1,! 残 ! 币,2,我 没 带 身份证 能 到 你们 网点 把 残币 换 一下 吗,我 没 带 身份证 能 到 你们 网点 把 残 币 换 一下 吗
222,! 一 ! 张 ! 残币,3,! 一张 ! 残 ! 币,3,我 手中 有 一 张 残币 ， 到 你们 银行 更换 需 不 需要 身份证,我 手中 有 一张 残 币 ， 到 你们 银行 更换 需 不 需要 身份证
223,! 里面 ! 晾 ! 干,3,! 里 ! 面 ! 晾干,3,我 洗 衣服 时候 ， 钱 在 口袋 里面 了 ， 晾 干 了 能 到 郑州 银行 换 吗,我 洗 衣服 时候 ， 钱 在 口袋 里 面 了 ， 晾干 了 能 到 郑州 银行 换 吗
224,! ATM ! 一 ! 张 ! 残币,4,! atm ! 一张 ! 残 ! 币,4,我 用 郑州 银行 ATM 取 钱 ， 发现 一 张 残币 ， 我 身份证 还 丢 了 ， 怎么 办,我 用 郑州 银行 atm 取 钱 ， 发现 一张 残 币 ， 我 身份证 还 丢 了 ， 怎么 办
225,! 一 ! 张 ! 可是,3,! 一张 ! 可 ! 是,3,我 这 有 一 张 钱 ， 掉 了 个 角 ， 在 你们 银行 换 ， 可是 我 是 外国人 啊 ， 怎么 办,我 这 有 一张 钱 ， 掉 了 个 角 ， 在 你们 银行 换 ， 可 是 我 是 外国人 啊 ， 怎么 办
226,! 一百 ! 元,2,! 一百元,1,我 这 有 张 一百 元 的 ， 让 水泡 了 ， 能 换 吗,我 这 有 张 一百元 的 ， 让 水泡 了 ， 能 换 吗
227,! 残币,1,! 残 ! 币,2,在 你们 银行 换 残币 有 什么 规定,在 你们 银行 换 残 币 有 什么 规定
228,,0,,0,别人 拿 着 我 的 身份证 能 查 到 我 的 信息 吗,别人 拿 着 我 的 身份证 能 查 到 我 的 信息 吗
229,,0,,0,别人 拿 着 我 俩 的 身份证 能 查 我 的 信息 吗,别人 拿 着 我 俩 的 身份证 能 查 我 的 信息 吗
230,! 能代办,1,! 能 ! 代办,2,查询 个人 信息 能代办 吗,查询 个人 信息 能 代办 吗
231,,0,,0,查询 账户 信息 需要 带 着 什么,查询 账户 信息 需要 带 着 什么
232,! 我 ! 家人,2,! 我家 ! 人,2,我 家人 能 帮 我 查 到 我 的 个人 资料 吗,我家 人 能 帮 我 查 到 我 的 个人 资料 吗
233,,0,,0,我 拿 什么 证件 能 查 到 我 的 账户 信息,我 拿 什么 证件 能 查 到 我 的 账户 信息
234,,0,,0,我 拿 着 别人 的 身份证 能 查 对方 的 账户 信息 吗,我 拿 着 别人 的 身份证 能 查 对方 的 账户 信息 吗
235,,0,,0,我 能 查 我 自己 的 账户 信息 吗,我 能 查 我 自己 的 账户 信息 吗
236,! 户口 ! 本,2,! 户口本,1,我 能 拿 户口 本 去 查 账户 信息 吗,我 能 拿 户口本 去 查 账户 信息 吗
237,,0,,0,我 能 在 网点 查 到 自己 的 个人 资料 吗,我 能 在 网点 查 到 自己 的 个人 资料 吗
238,,0,,0,存折 别的 地方 取 利息 是 多少,存折 别的 地方 取 利息 是 多少
239,,0,,0,存折 别的 地方 取 利息 怎么 算,存折 别的 地方 取 利息 怎么 算
240,,0,,0,存折 异地 取 利息 怎么 算,存折 异地 取 利息 怎么 算
241,,0,,0,定期 存折 别的 地方 取 利息 是 多少,定期 存折 别的 地方 取 利息 是 多少
242,,0,,0,定期 存折 异地 取 利息 怎么 算,定期 存折 异地 取 利息 怎么 算
243,,0,,0,活期 存折 别的 地方 取 利息 是 多少,活期 存折 别的 地方 取 利息 是 多少
244,,0,,0,活期 存折 异地 取 利息 怎么 算,活期 存折 异地 取 利息 怎么 算
245,,0,,0,定期 存款 外地 取 收 多少 钱,定期 存款 外地 取 收 多少 钱
246,,0,,0,定期 存款 异地 取 收 多少 钱,定期 存款 异地 取 收 多少 钱
247,,0,,0,活期 存款 外地 取 收 多少 钱,活期 存款 外地 取 收 多少 钱
248,,0,,0,活期 存款 异地 取 收 多少 钱,活期 存款 异地 取 收 多少 钱
249,! 回到,1,! 回 ! 到,2,存折 丢 了 ， 补办 也 要 回到 开户行 吗,存折 丢 了 ， 补办 也 要 回 到 开户行 吗
250,! 回到,1,! 回 ! 到,2,卡片 丢失 也 要 回到 开户行 办理 吗,卡片 丢失 也 要 回 到 开户行 办理 吗
251,,0,,0,郑州 银行 不 是 全国 业务 都 统一 吗,郑州 银行 不 是 全国 业务 都 统一 吗
252,! 不 ! 通兑,2,! 不通 ! 兑,2,什么 是 不 通兑 业务,什么 是 不通 兑 业务
253,! 通兑,1,! 通 ! 兑,2,什么 是 更改 通兑 标志,什么 是 更改 通 兑 标志
254,! 通兑,1,! 通 ! 兑,2,什么 是 通兑 业务,什么 是 通 兑 业务
255,! 不用 ! 就要,2,! 不 ! 用 ! 就 ! 要,4,为什么 我 存 钱 就 不用 到 开户行 ， 取 钱 就要 呢,为什么 我 存 钱 就 不 用 到 开户行 ， 取 钱 就 要 呢
256,! 支控,1,! 支 ! 控,2,支控 方式 是 什么 意思,支 控 方式 是 什么 意思
257,,0,,0,定期 存单 可以 在 全国 郑州 银行 都 能 取 吗,定期 存单 可以 在 全国 郑州 银行 都 能 取 吗
258,,0,,0,使用 卡片 只能 在 当地 取款 吗,使用 卡片 只能 在 当地 取款 吗
259,,0,,0,为什么 卡 就 能 在 全国 取 ， 但是 存折 不行 啊,为什么 卡 就 能 在 全国 取 ， 但是 存折 不行 啊
260,! 办卡 ! 卡比存 ! 折,3,! 办 ! 卡 ! 卡 ! 比 ! 存折,5,为什么 一定 要 让 我 办卡 ， 卡比存 折 好 在 哪 了,为什么 一定 要 让 我 办 卡 ， 卡 比 存折 好 在 哪 了
261,,0,,0,我 的 存折 为什么 一定 要 我 回 开户行 去 取,我 的 存折 为什么 一定 要 我 回 开户行 去 取
262,! A ! B,2,! a ! b,2,我 的 卡 是 在 A 地 办 的 ， 我 现在 人 在 B 能 取 钱 吗,我 的 卡 是 在 a 地 办 的 ， 我 现在 人 在 b 能 取 钱 吗
263,,0,,0,我 刚才 拿 存折 在 网点 取 钱 ， 为什么 不 给 我 取,我 刚才 拿 存折 在 网点 取 钱 ， 为什么 不 给 我 取
264,,0,,0,我 现在 人 在 外地 了 ， 我 能 用 存折 在 当地 取 钱 吗,我 现在 人 在 外地 了 ， 我 能 用 存折 在 当地 取 钱 吗
265,,0,,0,我 现在 有 个 存折 ， 不 是 在 当地 办 的 ， 能 取 吗,我 现在 有 个 存折 ， 不 是 在 当地 办 的 ， 能 取 吗
266,,0,,0,我 用 的 活期 存折 是 在 哪 都 可以 取 吗,我 用 的 活期 存折 是 在 哪 都 可以 取 吗
267,,0,,0,存折 在 我 朋友 那 ， 他 知道 我 的 密码 能 取 走 钱 吗,存折 在 我 朋友 那 ， 他 知道 我 的 密码 能 取 走 钱 吗
268,,0,,0,刚才 我 那 卡 去 银行 为什么 不 让 我 取 钱,刚才 我 那 卡 去 银行 为什么 不 让 我 取 钱
269,! 个人,1,! 个 ! 人,2,个人 存款 业务 ， 支取 的 方式 有 哪些,个 人 存款 业务 ， 支取 的 方式 有 哪些
270,! 凭 ! 证件,2,! 凭证 ! 件,2,凭 密码 、 凭 证件 是否 算 为 支取 方式,凭 密码 、 凭证 件 是否 算 为 支取 方式
271,! 凭 ! 证件,2,! 凭证 ! 件,2,凭 印鉴 、 凭 密码 — 凭 证件 是否 算 为 支取 方式,凭 印鉴 、 凭 密码 — 凭证 件 是否 算 为 支取 方式
272,! 卡能,1,! 卡 ! 能,2,为什么 别人 拿 着 我 的 卡能 取 钱,为什么 别人 拿 着 我 的 卡 能 取 钱
273,! 家人,1,! 家 ! 人,2,我 存折 在 我 家人 那 了 ， 他 能 取 钱 吗,我 存折 在 我 家 人 那 了 ， 他 能 取 钱 吗
274,! 卡里,1,! 卡 ! 里,2,我 跟 我 老婆 闹 离婚 呢 ， 钱 都 存 她 卡里 了 ， 她 没有 密码 能 去 钱 吗,我 跟 我 老婆 闹 离婚 呢 ， 钱 都 存 她 卡 里 了 ， 她 没有 密码 能 去 钱 吗
275,,0,,0,我 家人 去世 了 ， 密码 我 知道 ， 我 能 取 他 折子 里面 的 钱 吗,我 家人 去世 了 ， 密码 我 知道 ， 我 能 取 他 折子 里面 的 钱 吗
276,,0,,0,我 卡 丢 了 ， 他 没有 我 身份证 能 取 钱 吗,我 卡 丢 了 ， 他 没有 我 身份证 能 取 钱 吗
277,! 还有,1,! 还 ! 有,2,除了 定期 和 教育 储蓄 ， 郑州 银行 还有 其他 储蓄 业务 吗,除了 定期 和 教育 储蓄 ， 郑州 银行 还 有 其他 储蓄 业务 吗
278,! 死期,1,! 死 ! 期,2,郑州 银行 可以 办理 “ 死期 ” 业务 吗,郑州 银行 可以 办理 “ 死 期 ” 业务 吗
279,,0,,0,郑州 银行 可以 办理 教育 储蓄 吗,郑州 银行 可以 办理 教育 储蓄 吗
280,,0,,0,郑州 银行 有 没 有 既 能 随时 取 又 能 按照 定期 算 利息 的 业务,郑州 银行 有 没 有 既 能 随时 取 又 能 按照 定期 算 利息 的 业务
281,! 没 ! 有 ! 一 ! 笔 ! 每个 ! 取点,6,! 没有 ! 一笔 ! 每 ! 个 ! 取 ! 点,6,郑州 银行 有 没 有 我 一次性 存 一 笔 钱 ， 然后 每个 月 取点 但是 还 不 损失 利息 的 业务,郑州 银行 有 没有 我 一次性 存 一笔 钱 ， 然后 每 个 月 取 点 但是 还 不 损失 利息 的 业务
282,,0,,0,通知 存款 是 定期 吗,通知 存款 是 定期 吗
283,,0,,0,外汇 能 办理 通知 存款 吗,外汇 能 办理 通知 存款 吗
284,,0,,0,外汇 能 在 郑州 银行 存 定期 吗,外汇 能 在 郑州 银行 存 定期 吗
285,,0,,0,我 想 把 钱 存 郑州 银行 ， 都 能 办理 什么样 比较 安全 的 业务,我 想 把 钱 存 郑州 银行 ， 都 能 办理 什么样 比较 安全 的 业务
286,,0,,0,我 想 办理 每个 月 都 存 点 钱 ， 然后 按照 定期 算 利息 的 业务,我 想 办理 每个 月 都 存 点 钱 ， 然后 按照 定期 算 利息 的 业务
287,,0,,0,存款 保险 偿付 比例,存款 保险 偿付 比例
288,,0,,0,存款 保险 偿付 多少 钱,存款 保险 偿付 多少 钱
289,,0,,0,存款 保险 偿付 金额,存款 保险 偿付 金额
290,! 上限,1,! 上 ! 限,2,存款 保险 偿付 上限,存款 保险 偿付 上 限
291,,0,,0,存款 保险 偿付 数额,存款 保险 偿付 数额
292,! 投保人,1,! 投保 ! 人,2,保险 投保人 要 上交 保费 吗,保险 投保 人 要 上交 保费 吗
293,,0,,0,买 保险 的 人 要 上交 保费 吗,买 保险 的 人 要 上交 保费 吗
294,,0,,0,上 保险 的 人 要 上交 保费 吗,上 保险 的 人 要 上交 保费 吗
295,,0,,0,上 保险 的 人 用 上交 保费 吗,上 保险 的 人 用 上交 保费 吗
296,,0,,0,保险 的 含义,保险 的 含义
297,,0,,0,保险 的 解释,保险 的 解释
298,,0,,0,保险 是 什么,保险 是 什么
299,,0,,0,保险 怎么 解释,保险 怎么 解释
300,,0,,0,保险 怎么 理解,保险 怎么 理解
301,,0,,0,什么 叫 存款 保险 基金,什么 叫 存款 保险 基金
302,,0,,0,什么 是 存款 保险 基金,什么 是 存款 保险 基金
303,,0,,0,什么 是 存款 保险 基金 业务,什么 是 存款 保险 基金 业务
304,,0,,0,什么 是 基金,什么 是 基金
305,,0,,0,存款人 死亡 后 ， 怎么 取 他 的 钱,存款人 死亡 后 ， 怎么 取 他 的 钱
306,! 怎么办,1,! 怎么 ! 办,2,户主 本人 已 死亡 ， 存款 有 纠纷 怎么办,户主 本人 已 死亡 ， 存款 有 纠纷 怎么 办
307,,0,,0,户主 本人 已 死亡 ， 没有 公证书 可以 取款 吗,户主 本人 已 死亡 ， 没有 公证书 可以 取款 吗
308,! 怎么办,1,! 怎么 ! 办,2,户主 本人 已 死亡 ， 没有 判决书 怎么办,户主 本人 已 死亡 ， 没有 判决书 怎么 办
309,,0,,0,户主 本人 已 死亡 ， 取款 需要 公证 吗,户主 本人 已 死亡 ， 取款 需要 公证 吗
310,,0,,0,户主 本人 已 死亡 ， 取款 需要 什么 手续,户主 本人 已 死亡 ， 取款 需要 什么 手续
311,,0,,0,户主 本人 已 死亡 ， 我 能 直接 取 钱 吗,户主 本人 已 死亡 ， 我 能 直接 取 钱 吗
312,,0,,0,户主 本人 已 死亡 ， 需要 办理 继承 吗,户主 本人 已 死亡 ， 需要 办理 继承 吗
313,,0,,0,户主 本人 已 死亡 ， 需要 什么 证明 吗,户主 本人 已 死亡 ， 需要 什么 证明 吗
314,! 取 ! 出来,2,! 取出 ! 来,2,户主 本人 已 死亡 ， 怎么 才 能 取 出来 钱,户主 本人 已 死亡 ， 怎么 才 能 取出 来 钱
315,,0,,0,护照 丢 了 ， 能 用 继承权 证明书 复印件 取 钱 吗,护照 丢 了 ， 能 用 继承权 证明书 复印件 取 钱 吗
316,,0,,0,继承权 证明书 复印件 ， 能 不能 取款,继承权 证明书 复印件 ， 能 不能 取款
317,! 卡能,1,! 卡 ! 能,2,继承权 证明书 复印件 和 卡能 取 钱 吗,继承权 证明书 复印件 和 卡 能 取 钱 吗
318,,0,,0,继承权 证明书 复印件 能 办理 业务 吗,继承权 证明书 复印件 能 办理 业务 吗
319,,0,,0,继承权 证明书 复印件 能 取款 吗,继承权 证明书 复印件 能 取款 吗
320,,0,,0,继承权 证明书 有 复印件 ， 能 替 别人 取款 吗,继承权 证明书 有 复印件 ， 能 替 别人 取款 吗
321,,0,,0,继承人 身份证 丢 了 ， 能 用 继承权 证明书 复印件 取 钱 吗,继承人 身份证 丢 了 ， 能 用 继承权 证明书 复印件 取 钱 吗
322,,0,,0,卡 丢 了 ， 能 用 继承权 证明书 复印件 取 钱 吗,卡 丢 了 ， 能 用 继承权 证明书 复印件 取 钱 吗
323,,0,,0,取款 ， 只 带 继承权 证明书 复印件 行 吗,取款 ， 只 带 继承权 证明书 复印件 行 吗
324,,0,,0,我 有 别人 的 继承权 证明书 复印件 ， 能 替 他 取 钱 吗,我 有 别人 的 继承权 证明书 复印件 ， 能 替 他 取 钱 吗
325,! 家人,1,! 家 ! 人,2,不 知道 家人 开 了 多少 个 账户 ， 每个 都 要 公证书 吗,不 知道 家 人 开 了 多少 个 账户 ， 每个 都 要 公证书 吗
326,,0,,0,公证书 的 钱 是 郑州 银行 出 吗,公证书 的 钱 是 郑州 银行 出 吗
327,! 还是,1,! 还 ! 是,2,公证书 是 要 原件 还是 复印件,公证书 是 要 原件 还 是 复印件
328,,0,,0,家人 去世 了 ， 怎么 才 能 取出 他 账户 里面 的 钱,家人 去世 了 ， 怎么 才 能 取出 他 账户 里面 的 钱
329,! 继 ! 承权,2,! 继承权,1,什么 是 继 承权 证明书,什么 是 继承权 证明书
330,! 不要,1,! 不 ! 要,2,为什么 人家 别的 银行 就 不要 公证书 呢,为什么 人家 别的 银行 就 不 要 公证书 呢
331,,0,,0,我 父亲 的 卡 ， 为什么 一定 要 到 公证处 开 证明,我 父亲 的 卡 ， 为什么 一定 要 到 公证处 开 证明
332,! 怎么办,1,! 怎么 ! 办,2,我家 在 村里 ， 没有 公证处 怎么办,我家 在 村里 ， 没有 公证处 怎么 办
333,! 里钱 ! 开公 ! 证书 ! 不 ! 能,5,! 里 ! 钱 ! 开 ! 公证书 ! 不能,5,账户 里钱 不 多 ， 开公 证书 的 钱 那么 贵 ， 就 不 能 通融 一下,账户 里 钱 不 多 ， 开 公证书 的 钱 那么 贵 ， 就 不能 通融 一下
334,! 不要,1,! 不 ! 要,2,办理 继承 取款 业务 时 ， 公证书 原件 银行 要 不要 留存,办理 继承 取款 业务 时 ， 公证书 原件 银行 要 不 要 留存
335,,0,,0,存款人 死亡 ， 生前 在 银行 的 存款 家属 支取 要 不要 把 继承 公证书 原件 留 在 银行,存款人 死亡 ， 生前 在 银行 的 存款 家属 支取 要 不要 把 继承 公证书 原件 留 在 银行
336,! 继承书 ! 单折类,2,! 继承 ! 书 ! 单 ! 折 ! 类,5,存款人 死亡 家属 拿 着 公正 继承书 到 网点 办理 单折类 账户 密码 挂失 、 取款 业务 时 ， 网点 是否 需要 留存 相关 公证书 原件,存款人 死亡 家属 拿 着 公正 继承 书 到 网点 办理 单 折 类 账户 密码 挂失 、 取款 业务 时 ， 网点 是否 需要 留存 相关 公证书 原件
337,! 不要,1,! 不 ! 要,2,存款人 死亡 家属 想 取 钱 拿 着 公证书 去 网点 办理 业务 要 不要 留存 公证书 原件,存款人 死亡 家属 想 取 钱 拿 着 公证书 去 网点 办理 业务 要 不 要 留存 公证书 原件
338,,0,,0,存款人 已经 死亡 ， 其 留下 的 存款 需要 亲属 领取 ， 已经 办理 了 公证书 ， 到 银行 取款 要 不 要 讲 原件 留下,存款人 已经 死亡 ， 其 留下 的 存款 需要 亲属 领取 ， 已经 办理 了 公证书 ， 到 银行 取款 要 不 要 讲 原件 留下
339,! 不要,1,! 不 ! 要,2,户主 不 在 人世 假如 申请 继承 财产 ， 公证书 原件 要 不要 留 在 银行,户主 不 在 人世 假如 申请 继承 财产 ， 公证书 原件 要 不 要 留 在 银行
340,! 驾鹤西游 ! 不要,2,! 驾 ! 鹤 ! 西游 ! 不 ! 要,5,户主 驾鹤西游 ， 留下 的 遗产 家属 凭借 公证书 去 办理 取款 ， 公证 原件 要 不要 留 在 银行,户主 驾 鹤 西游 ， 留下 的 遗产 家属 凭借 公证书 去 办理 取款 ， 公证 原件 要 不 要 留 在 银行
341,! 是 ! 不 ! 是,3,! 是不是,1,户主 去世 ， 他人 取 户主 钱 ， 网点 是 不 是 留 公证书 原件,户主 去世 ， 他人 取 户主 钱 ， 网点 是不是 留 公证书 原件
342,! 不要,1,! 不 ! 要,2,户主 去世 继承人 取款 ， 网点 公证书 原件 要 不要 留下,户主 去世 继承人 取款 ， 网点 公证书 原件 要 不 要 留下
343,! 单折类,1,! 单 ! 折 ! 类,3,户主 死亡 后 继承人 持 公证处 出具 的 继承权 证明书 到 网点 办理 单折类 账户 密码 挂失 、 取款 业务 时 ， 网点 是否 需要 留存 相关 公证书 原件,户主 死亡 后 继承人 持 公证处 出具 的 继承权 证明书 到 网点 办理 单 折 类 账户 密码 挂失 、 取款 业务 时 ， 网点 是否 需要 留存 相关 公证书 原件
344,! 办理,1,! 办 ! 理,2,存折 、 存单 口头 挂失 后 失效 后 怎么 办理,存折 、 存单 口头 挂失 后 失效 后 怎么 办 理
345,,0,,0,存折 、 存单 口头 挂失 能 打电话 办 吗,存折 、 存单 口头 挂失 能 打电话 办 吗
346,! 办理,1,! 办 ! 理,2,存折 、 存单 口头 挂失 如何 办理,存折 、 存单 口头 挂失 如何 办 理
347,,0,,0,存折 、 存单 口头 挂失 有效期 是 多久,存折 、 存单 口头 挂失 有效期 是 多久
348,,0,,0,存折 、 存单 什么 是 口头 挂失,存折 、 存单 什么 是 口头 挂失
349,,0,,0,存折 挂失 方式,存折 挂失 方式
350,,0,,0,去 哪 办理 存单 、 存折 书面 挂失,去 哪 办理 存单 、 存折 书面 挂失
351,,0,,0,书面 挂失 存单 、 存折 能 在 外地 办理 吗,书面 挂失 存单 、 存折 能 在 外地 办理 吗
352,! 办理,1,! 办 ! 理,2,书面 挂失 存单 、 存折 如何 办理,书面 挂失 存单 、 存折 如何 办 理
353,,0,,0,书面 挂失 存单 、 存折 有效期 是 多久,书面 挂失 存单 、 存折 有效期 是 多久
354,,0,,0,别人 能 替 我 去 办理 换 折 业务 吗,别人 能 替 我 去 办理 换 折 业务 吗
355,! 不 ! 能,2,! 不能,1,存折 不 能 用 了 ， 怎么 办,存折 不能 用 了 ， 怎么 办
356,,0,,0,存折 打 满 了 怎么 办,存折 打 满 了 怎么 办
357,! 消磁,1,! 消 ! 磁,2,存折 消磁 了 怎么 办,存折 消 磁 了 怎么 办
