序号,领域,类别,问题,扩展问题,SegmentedInput,SegmentedTarget
185,个人存款,活期存款,办理个人存款业务时个人有效身份证件包括哪些,什么是个人存款有效身份证件,办理 个人 存款 业务 时 个人 有效 身份证件 包括 哪些,什么 是 个人 存款 有效 身份证件
186,个人存款,活期存款,办理个人存款业务时个人有效身份证件包括哪些,我是警察，办理个人存款业务应该用什么证件,办理 个人 存款 业务 时 个人 有效 身份证件 包括 哪些,我 是 警察 ， 办理 个人 存款 业务 应该 用 什么 证件
187,个人存款,活期存款,办理个人存款业务时个人有效身份证件包括哪些,有什么证件能作为个人存款业务辅助证件,办理 个人 存款 业务 时 个人 有效 身份证件 包括 哪些,有 什么 证件 能 作为 个人 存款 业务 辅助 证件
188,个人存款,活期存款,办理个人存款业务时个人有效身份证件包括哪些,证件过期怎么办,办理 个人 存款 业务 时 个人 有效 身份证件 包括 哪些,证件 过期 怎么办
189,个人存款,活期存款,办理取款时金额为多少需要携带有效身份证件,代理取款需要什么证件,办理 取款 时 金额 为 多少 需要 携带 有效 身份证件,代理 取款 需要 什么 证件
190,个人存款,活期存款,办理取款时金额为多少需要携带有效身份证件,到郑州银行营业厅取美元能代理办理吗,办理 取款 时 金额 为 多少 需要 携带 有效 身份证件,到 郑州 银行 营业厅 取 美元 能 代理 办理 吗
191,个人存款,活期存款,办理取款时金额为多少需要携带有效身份证件,取多少美元需要身份证,办理 取款 时 金额 为 多少 需要 携带 有效 身份证件,取 多少 美元 需要 身份证
192,个人存款,活期存款,办理取款时金额为多少需要携带有效身份证件,取款5万元及以上必须本人办理吗,办理 取款 时 金额 为 多少 需要 携带 有效 身份证件,取款 5 万元 及 以上 必须 本人 办理 吗
193,个人存款,活期存款,办理取款时金额为多少需要携带有效身份证件,取美元时，金额有什么限制,办理 取款 时 金额 为 多少 需要 携带 有效 身份证件,取 美元 时 ， 金额 有 什么 限制
194,个人存款,活期存款,办理取款时金额为多少需要携带有效身份证件,取外币需要身份证吗,办理 取款 时 金额 为 多少 需要 携带 有效 身份证件,取 外币 需要 身份证 吗
195,个人存款,活期存款,办理取款时金额为多少需要携带有效身份证件,我的身份证丢了，可以使用复印件办理取款吗,办理 取款 时 金额 为 多少 需要 携带 有效 身份证件,我 的 身份证 丢 了 ， 可以 使用 复印件 办理 取款 吗
196,个人存款,活期存款,办理取款时金额为多少需要携带有效身份证件,我能到郑州银行营业厅替别人取钱吗,办理 取款 时 金额 为 多少 需要 携带 有效 身份证件,我能 到 郑州 银行 营业厅 替 别人 取钱 吗
197,个人存款,活期存款,办理取款时金额为多少需要携带有效身份证件,无折取卡有什么要求,办理 取款 时 金额 为 多少 需要 携带 有效 身份证件,无折 取卡有 什么 要求
198,个人存款,活期存款,办理取款时金额为多少需要携带有效身份证件,自己取多少钱时需要身份证,办理 取款 时 金额 为 多少 需要 携带 有效 身份证件,自己 取 多少 钱时 需要 身份证
199,个人存款,活期存款,必须本人办理的储蓄业务有哪些,存折重写磁能代办吗,必须 本人 办理 的 储蓄 业务 有 哪些,存折 重写 磁能 代办 吗
200,个人存款,活期存款,必须本人办理的储蓄业务有哪些,更改支控方式能代办吗,必须 本人 办理 的 储蓄 业务 有 哪些,更改 支控 方式 能 代办 吗
201,个人存款,活期存款,必须本人办理的储蓄业务有哪些,更换印鉴能代办吗,必须 本人 办理 的 储蓄 业务 有 哪些,更换 印鉴 能 代办 吗
202,个人存款,活期存款,必须本人办理的储蓄业务有哪些,挂失能代办吗,必须 本人 办理 的 储蓄 业务 有 哪些,挂失 能 代办 吗
203,个人存款,活期存款,必须本人办理的储蓄业务有哪些,密码必须本人办吗,必须 本人 办理 的 储蓄 业务 有 哪些,密码 必须 本人 办 吗
204,个人存款,活期存款,必须本人办理的储蓄业务有哪些,密码能代办吗,必须 本人 办理 的 储蓄 业务 有 哪些,密码 能 代办 吗
205,个人存款,活期存款,必须本人办理的储蓄业务有哪些,什么业务必须本人办理,必须 本人 办理 的 储蓄 业务 有 哪些,什么 业务 必须 本人 办理
206,个人存款,活期存款,必须本人办理的储蓄业务有哪些,我能代理办理密码问题吗,必须 本人 办理 的 储蓄 业务 有 哪些,我能 代理 办理 密码 问题 吗
207,个人存款,活期存款,必须本人办理的储蓄业务有哪些,销户能代办吗,必须 本人 办理 的 储蓄 业务 有 哪些,销户 能 代办 吗
208,个人存款,活期存款,必须本人办理的储蓄业务有哪些,账户查询能代办吗,必须 本人 办理 的 储蓄 业务 有 哪些,账户 查询 能 代办 吗
209,个人存款,活期存款,残币兑换如何规定,残币面积如何规定的,残币 兑换 如何 规定,残币 面积 如何 规定 的
210,个人存款,活期存款,残币兑换如何规定,残币如何兑换,残币 兑换 如何 规定,残币 如何 兑换
211,个人存款,活期存款,残币兑换如何规定,什么地方能兑换残币,残币 兑换 如何 规定,什么 地方 能 兑换 残币
212,个人存款,活期存款,残币兑换如何规定,什么是残币的票面四分之三,残币 兑换 如何 规定,什么 是 残币 的 票面 四分之三
213,个人存款,活期存款,残币兑换如何规定,所有银行都能换残币吗,残币 兑换 如何 规定,所有 银行 都 能 换 残币 吗
214,个人存款,活期存款,残币兑换如何规定,银行能换残币吗,残币 兑换 如何 规定,银行 能换 残币 吗
215,个人存款,活期存款,残币兑换如何规定,这钱破了，怎么换,残币 兑换 如何 规定,这钱 破 了 ， 怎么 换
216,个人存款,活期存款,残币兑换如何规定,纸币被撕烂了，怎么办,残币 兑换 如何 规定,纸币 被 撕烂 了 ， 怎么办
217,个人存款,活期存款,残币兑换如何规定,纸币被洗了，怎么办,残币 兑换 如何 规定,纸币 被 洗 了 ， 怎么办
218,个人存款,活期存款,残币兑换如何规定,纸币染色了，怎么办,残币 兑换 如何 规定,纸币 染色 了 ， 怎么办
219,个人存款,活期存款,残币兑换是否需要携带身份证,家里小孩不小心把钱撕了，能换吗,残币 兑换 是否 需要 携带 身份证,家里 小孩 不 小心 把 钱 撕 了 ， 能换 吗
220,个人存款,活期存款,残币兑换是否需要携带身份证,为什么刚才我到那个网点换钱非要我提供身份证,残币 兑换 是否 需要 携带 身份证,为什么 刚才 我 到 那个 网点 换钱 非要 我 提供 身份证
221,个人存款,活期存款,残币兑换是否需要携带身份证,我没带身份证能到你们网点把残币换一下吗,残币 兑换 是否 需要 携带 身份证,我 没带 身份证 能 到 你们 网点 把 残币 换 一下 吗
222,个人存款,活期存款,残币兑换是否需要携带身份证,我手中有一张残币，到你们银行更换需不需要身份证,残币 兑换 是否 需要 携带 身份证,我 手中 有 一张 残币 ， 到 你们 银行 更换 需不需要 身份证
223,个人存款,活期存款,残币兑换是否需要携带身份证,我洗衣服时候，钱在口袋里面了，晾干了能到郑州银行换吗,残币 兑换 是否 需要 携带 身份证,我 洗衣服 时候 ， 钱 在 口袋 里面 了 ， 晾干 了 能 到 郑州 银行 换 吗
224,个人存款,活期存款,残币兑换是否需要携带身份证,我用郑州银行ATM取钱，发现一张残币，我身份证还丢了，怎么办,残币 兑换 是否 需要 携带 身份证,我用 郑州 银行 ATM 取钱 ， 发现 一张 残币 ， 我 身份证 还 丢 了 ， 怎么办
225,个人存款,活期存款,残币兑换是否需要携带身份证,我这有一张钱，掉了个角，在你们银行换，可是我是外国人啊，怎么办,残币 兑换 是否 需要 携带 身份证,我 这 有 一张 钱 ， 掉 了 个 角 ， 在 你们 银行 换 ， 可是 我 是 外国人 啊 ， 怎么办
226,个人存款,活期存款,残币兑换是否需要携带身份证,我这有张一百元的，让水泡了，能换吗,残币 兑换 是否 需要 携带 身份证,我 这 有 张 一百元 的 ， 让 水泡 了 ， 能换 吗
227,个人存款,活期存款,残币兑换是否需要携带身份证,在你们银行换残币有什么规定,残币 兑换 是否 需要 携带 身份证,在 你们 银行 换 残币 有 什么 规定
228,个人存款,活期存款,查询个人资料需携带什么证件,别人拿着我的身份证能查到我的信息吗,查询 个人资料 需 携带 什么 证件,别人 拿 着 我 的 身份证 能查 到 我 的 信息 吗
229,个人存款,活期存款,查询个人资料需携带什么证件,别人拿着我俩的身份证能查我的信息吗,查询 个人资料 需 携带 什么 证件,别人 拿 着 我俩 的 身份证 能查 我 的 信息 吗
230,个人存款,活期存款,查询个人资料需携带什么证件,查询个人信息能代办吗,查询 个人资料 需 携带 什么 证件,查询 个人信息 能 代办 吗
231,个人存款,活期存款,查询个人资料需携带什么证件,查询账户信息需要带着什么,查询 个人资料 需 携带 什么 证件,查询 账户 信息 需要 带 着 什么
232,个人存款,活期存款,查询个人资料需携带什么证件,我家人能帮我查到我的个人资料吗,查询 个人资料 需 携带 什么 证件,我家 人能 帮 我查 到 我 的 个人资料 吗
233,个人存款,活期存款,查询个人资料需携带什么证件,我拿什么证件能查到我的账户信息,查询 个人资料 需 携带 什么 证件,我 拿 什么 证件 能查 到 我 的 账户 信息
234,个人存款,活期存款,查询个人资料需携带什么证件,我拿着别人的身份证能查对方的账户信息吗,查询 个人资料 需 携带 什么 证件,我 拿 着 别人 的 身份证 能查 对方 的 账户 信息 吗
235,个人存款,活期存款,查询个人资料需携带什么证件,我能查我自己的账户信息吗,查询 个人资料 需 携带 什么 证件,我 能查 我 自己 的 账户 信息 吗
